,timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
0,2015-01-04 00:00:00,182,3.0,2.0,93.0,6.0,Broken Clouds,0.0,1.0,Winter
1,2015-01-04 01:00:00,138,3.0,2.5,93.0,5.0,Clear,0.0,1.0,Winter
2,2015-01-04 02:00:00,134,2.5,2.5,96.5,0.0,Clear,0.0,1.0,Winter
3,2015-01-04 03:00:00,72,2.0,2.0,100.0,0.0,Clear,0.0,1.0,Winter
4,2015-01-04 04:00:00,47,2.0,0.0,93.0,6.5,Clear,0.0,1.0,Winter
5,2015-01-04 05:00:00,46,2.0,2.0,93.0,4.0,Clear,0.0,1.0,Winter
6,2015-01-04 06:00:00,51,1.0,-1.0,100.0,7.0,Cloudy,0.0,1.0,Winter
7,2015-01-04 07:00:00,75,1.0,-1.0,100.0,7.0,Cloudy,0.0,1.0,Winter
8,2015-01-04 08:00:00,131,1.5,-1.0,96.5,8.0,Cloudy,0.0,1.0,Winter
9,2015-01-04 09:00:00,301,2.0,-0.5,100.0,9.0,Broken Clouds,0.0,1.0,Winter
10,2015-01-04 10:00:00,528,3.0,-0.5,93.0,12.0,Broken Clouds,0.0,1.0,Winter
11,2015-01-04 11:00:00,727,2.0,-1.5,100.0,12.0,Broken Clouds,0.0,1.0,Winter
12,2015-01-04 12:00:00,862,2.0,-1.5,96.5,13.0,Cloudy,0.0,1.0,Winter
13,2015-01-04 13:00:00,916,3.0,-0.5,87.0,15.0,Broken Clouds,0.0,1.0,Winter
14,2015-01-04 14:00:00,1039,2.5,0.0,90.0,8.0,Broken Clouds,0.0,1.0,Winter
15,2015-01-04 15:00:00,869,2.0,-1.5,93.0,11.0,Broken Clouds,0.0,1.0,Winter
16,2015-01-04 16:00:00,737,3.0,0.0,93.0,12.0,Broken Clouds,0.0,1.0,Winter
17,2015-01-04 17:00:00,594,3.0,0.0,93.0,11.0,Broken Clouds,0.0,1.0,Winter
18,2015-01-04 18:00:00,522,3.0,1.5,93.0,6.5,Broken Clouds,0.0,1.0,Winter
19,2015-01-04 19:00:00,379,3.0,1.0,93.0,7.0,Broken Clouds,0.0,1.0,Winter
20,2015-01-04 20:00:00,328,3.0,3.0,93.0,4.0,Broken Clouds,0.0,1.0,Winter
21,2015-01-04 21:00:00,221,3.0,2.5,93.0,5.0,Cloudy,0.0,1.0,Winter
22,2015-01-04 22:00:00,178,3.0,2.0,93.0,6.0,Cloudy,0.0,1.0,Winter
23,2015-01-04 23:00:00,157,4.0,3.5,87.0,5.0,Cloudy,0.0,1.0,Winter
24,2015-01-05 00:00:00,83,4.0,3.0,93.0,6.0,Cloudy,0.0,0.0,Winter
25,2015-01-05 01:00:00,67,4.0,3.5,93.0,5.0,Cloudy,0.0,0.0,Winter
26,2015-01-05 02:00:00,32,5.0,4.0,87.0,6.0,Cloudy,0.0,0.0,Winter
27,2015-01-05 03:00:00,22,6.0,4.5,84.0,7.5,Cloudy,0.0,0.0,Winter
28,2015-01-05 04:00:00,38,6.5,5.0,84.0,8.0,Cloudy,0.0,0.0,Winter
29,2015-01-05 05:00:00,81,6.0,5.5,87.0,5.0,Cloudy,0.0,0.0,Winter
30,2015-01-05 06:00:00,444,7.0,6.5,81.0,5.0,Broken Clouds,0.0,0.0,Winter
31,2015-01-05 07:00:00,1597,7.0,6.0,81.0,6.5,Broken Clouds,0.0,0.0,Winter
32,2015-01-05 08:00:00,3161,8.0,7.5,79.0,5.0,Broken Clouds,0.0,0.0,Winter
33,2015-01-05 09:00:00,1342,8.0,7.0,82.0,6.0,Broken Clouds,0.0,0.0,Winter
34,2015-01-05 10:00:00,568,9.0,8.0,84.5,6.5,Broken Clouds,0.0,0.0,Winter
35,2015-01-05 11:00:00,584,9.0,7.5,90.5,10.0,Broken Clouds,0.0,0.0,Winter
36,2015-01-05 12:00:00,762,10.0,8.0,85.0,11.0,Broken Clouds,0.0,0.0,Winter
37,2015-01-05 13:00:00,873,10.0,8.5,82.0,10.0,Broken Clouds,0.0,0.0,Winter
38,2015-01-05 14:00:00,672,10.0,9.0,82.0,9.0,Broken Clouds,0.0,0.0,Winter
39,2015-01-05 15:00:00,807,10.0,8.5,79.0,10.0,Broken Clouds,0.0,0.0,Winter
40,2015-01-05 16:00:00,1192,10.0,8.5,73.5,13.0,Broken Clouds,0.0,0.0,Winter
41,2015-01-05 17:00:00,2761,9.5,7.5,73.5,12.0,Broken Clouds,0.0,0.0,Winter
42,2015-01-05 18:00:00,2389,9.5,7.5,69.0,14.0,Broken Clouds,0.0,0.0,Winter
